event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
406440,592,Interest Rate Decision,25-05-20 13:00,Israel,ILS,Moderate Volatility Expected,,0.18%,0.10%,interest-rate-decision-592,Interest Rate Decision
400691,1523,CAGED Net Payroll Jobs,25-05-20 18:00,Brazil,BRL,Moderate Volatility Expected,,70.00K,-307.31K,caged-net-payroll-jobs-1523,CAGED Net Payroll Jobs
406459,1064,Trade Balance,25-05-20 22:45,New Zealand,NZD,Moderate Volatility Expected,,,"-3,460M",trade-balance-1064,Trade Balance 
406460,290,Trade Balance,25-05-20 22:45,New Zealand,NZD,Moderate Volatility Expected,,,672M,trade-balance-290,Trade Balance 
406461,1112,CPI,26-05-20 05:00,Singapore,SGD,Moderate Volatility Expected,,-0.30%,0.30%,cpi-1112,Consumer Price Index (CPI) 
406465,359,GfK German Consumer Climate,26-05-20 06:00,Germany,EUR,Moderate Volatility Expected,,-1.8,-23.4,gfk-german-consumer-climate-359,GfK Consumer Climate
406467,98,Employment Level,26-05-20 06:30,Switzerland,CHF,Moderate Volatility Expected,,,5.130M,employment-level-98,Employment Level
406473,650,Unemployment Rate,26-05-20 08:00,Poland,PLN,Moderate Volatility Expected,,5.70%,5.40%,unemployment-rate-650,Unemployment Rate
406477,1147,GDP,26-05-20 11:00,Mexico,MXN,Moderate Volatility Expected,,,-1.60%,gdp-1147,Gross Domestic Product (GDP) 
406476,419,GDP,26-05-20 11:00,Mexico,MXN,Moderate Volatility Expected,,-0.40%,-1.60%,gdp-419,Gross Domestic Product (GDP) 
406487,329,S&P/CS HPI Composite - 20 n.s.a.,26-05-20 13:00,United States,USD,Moderate Volatility Expected,,3.20%,3.50%,s&p-cs-hpi-composite---20-n.s.a.-329,S&P/CS HPI Composite - 20 n.s.a. 
406485,555,Retail Sales,26-05-20 13:00,Russia,RUB,Moderate Volatility Expected,,-15.00%,5.60%,retail-sales-555,Retail Sales 
406490,556,Unemployment Rate,26-05-20 13:00,Russia,RUB,Moderate Volatility Expected,,5.50%,4.70%,unemployment-rate-556,Unemployment Rate
